iso,year,rank_eci,name
AGO,2008,121,Angola
JPN,2009,1,Japan
DEU,2009,2,Germany
CHE,2009,3,Switzerland
KOR,2009,9,South Korea
SWE,2009,4,Sweden
AUT,2009,6,Austria
CZE,2009,7,Czech Republic
FIN,2009,5,Finland
HUN,2009,12,Hungary
GBR,2009,11,United Kingdom
SVN,2009,10,Slovenia
SVK,2009,8,Slovakia
USA,2009,14,United States
ITA,2009,15,Italy
IRL,2009,17,Ireland
FRA,2009,13,France
CHN,2009,28,China
DNK,2009,16,Denmark
BEL,2009,18,Belgium
MEX,2009,24,Mexico
ISR,2009,25,Israel
NLD,2009,22,Netherlands
EST,2009,29,Estonia
THA,2009,33,Thailand
POL,2009,19,Poland
MYS,2009,40,Malaysia
ROU,2009,26,Romania
ESP,2009,21,Spain
BLR,2009,20,Belarus
HRV,2009,23,Croatia
NOR,2009,27,Norway
LTU,2009,36,Lithuania
LVA,2009,31,Latvia
PRT,2009,35,Portugal
BIH,2009,32,Bosnia and Herzegovina
BGR,2009,39,Bulgaria
CAN,2009,30,Canada
PHL,2009,53,Philippines
TUR,2009,42,Turkey
UKR,2009,37,Ukraine
IND,2009,51,India
GRC,2009,46,Greece
TUN,2009,50,Tunisia
JOR,2009,43,Jordan
NZL,2009,52,New Zealand
RUS,2009,45,Russia
URY,2009,49,Uruguay
SLV,2009,62,El Salvador
CRI,2009,58,Costa Rica
BRA,2009,47,Brazil
ZAF,2009,56,South Africa
IDN,2009,78,Indonesia
LBN,2009,41,Lebanon
VNM,2009,72,Vietnam
MDA,2009,48,Moldova
MUS,2009,61,Mauritius
EGY,2009,68,Egypt
GEO,2009,65,Georgia
COL,2009,44,Colombia
ARG,2009,55,Argentina
DOM,2009,76,Dominican Republic
ARE,2009,57,United Arab Emirates
MKD,2009,64,Macedonia
JAM,2009,60,Jamaica
CHL,2009,70,Chile
GTM,2009,81,Guatemala
LKA,2009,82,Sri Lanka
OMN,2009,67,Oman
KWT,2009,77,Kuwait
SAU,2009,59,Saudi Arabia
HND,2009,92,Honduras
SEN,2009,85,Senegal
PRY,2009,84,Paraguay
MAR,2009,83,Morocco
CUB,2009,75,Cuba
KAZ,2009,90,Kazakhstan
SYR,2009,69,Syria
AUS,2009,79,Australia
KHM,2009,101,Cambodia
ALB,2009,38,Albania
ZMB,2009,102,Zambia
KGZ,2009,73,Kyrgyzstan
UZB,2009,86,Uzbekistan
KEN,2009,71,Kenya
CMR,2009,103,Cameroon
TTO,2009,66,Trinidad and Tobago
PAK,2009,87,Pakistan
QAT,2009,80,Qatar
PER,2009,89,Peru
NAM,2009,63,Namibia
BWA,2009,54,Botswana
ZWE,2009,91,Zimbabwe
NIC,2009,95,Nicaragua
UGA,2009,88,Uganda
CIV,2009,108,Ivory Coast
IRN,2009,111,Iran
BGD,2009,106,Bangladesh
MDG,2009,94,Madagascar
TZA,2009,97,Tanzania
TKM,2009,109,Turkmenistan
ECU,2009,96,Ecuador
VEN,2009,74,Venezuela
TJK,2009,113,Tajikistan
MOZ,2009,114,Mozambique
BOL,2009,104,Bolivia
LAO,2009,105,Laos
GAB,2009,112,Gabon
AZE,2009,117,Azerbaijan
ETH,2009,98,Ethiopia
DZA,2009,99,Algeria
GHA,2009,110,Ghana
MNG,2009,93,Mongolia
MWI,2009,119,Malawi
PNG,2009,122,Papua New Guinea
COG,2009,116,Republic of the Congo
MLI,2009,100,Mali
LBY,2009,115,Libya
MRT,2009,120,Mauritania
YEM,2009,107,Yemen
GIN,2009,121,Guinea
NGA,2009,118,Nigeria
AGO,2009,123,Angola
JPN,2010,1,Japan
DEU,2010,3,Germany
CHE,2010,2,Switzerland
KOR,2010,8,South Korea
SWE,2010,5,Sweden
AUT,2010,4,Austria
CZE,2010,6,Czech Republic
FIN,2010,7,Finland
HUN,2010,11,Hungary
GBR,2010,9,United Kingdom
SVN,2010,12,Slovenia
SVK,2010,13,Slovakia
USA,2010,10,United States
ITA,2010,15,Italy
IRL,2010,16,Ireland
FRA,2010,14,France
CHN,2010,25,China
DNK,2010,17,Denmark
BEL,2010,19,Belgium
MEX,2010,22,Mexico
ISR,2010,18,Israel
NLD,2010,23,Netherlands
EST,2010,29,Estonia
THA,2010,30,Thailand
POL,2010,20,Poland
MYS,2010,35,Malaysia
ROU,2010,28,Romania
ESP,2010,24,Spain
BLR,2010,21,Belarus
HRV,2010,26,Croatia
NOR,2010,34,Norway
LTU,2010,27,Lithuania
LVA,2010,31,Latvia
PRT,2010,32,Portugal
BIH,2010,36,Bosnia and Herzegovina
BGR,2010,38,Bulgaria
CAN,2010,33,Canada
PHL,2010,44,Philippines
TUR,2010,40,Turkey
UKR,2010,39,Ukraine
IND,2010,54,India
GRC,2010,45,Greece
TUN,2010,51,Tunisia
JOR,2010,43,Jordan
NZL,2010,46,New Zealand
RUS,2010,42,Russia
URY,2010,48,Uruguay
SLV,2010,58,El Salvador
CRI,2010,53,Costa Rica
BRA,2010,47,Brazil
ZAF,2010,55,South Africa
IDN,2010,68,Indonesia
LBN,2010,41,Lebanon
VNM,2010,72,Vietnam
MDA,2010,52,Moldova
MUS,2010,59,Mauritius
EGY,2010,69,Egypt
GEO,2010,65,Georgia
COL,2010,49,Colombia
ARG,2010,57,Argentina
DOM,2010,71,Dominican Republic
ARE,2010,56,United Arab Emirates
MKD,2010,63,Macedonia
JAM,2010,60,Jamaica
CHL,2010,64,Chile
GTM,2010,76,Guatemala
LKA,2010,86,Sri Lanka
OMN,2010,73,Oman
KWT,2010,62,Kuwait
SAU,2010,50,Saudi Arabia
HND,2010,92,Honduras
SEN,2010,84,Senegal
PRY,2010,89,Paraguay
MAR,2010,81,Morocco
CUB,2010,80,Cuba
KAZ,2010,87,Kazakhstan
SYR,2010,67,Syria
AUS,2010,74,Australia
KHM,2010,106,Cambodia
ALB,2010,79,Albania
ZMB,2010,96,Zambia
KGZ,2010,82,Kyrgyzstan
UZB,2010,85,Uzbekistan
KEN,2010,75,Kenya
CMR,2010,99,Cameroon
TTO,2010,66,Trinidad and Tobago
PAK,2010,95,Pakistan
QAT,2010,61,Qatar
PER,2010,91,Peru
NAM,2010,70,Namibia
BWA,2010,78,Botswana
ZWE,2010,98,Zimbabwe
NIC,2010,105,Nicaragua
UGA,2010,88,Uganda
CIV,2010,107,Ivory Coast
IRN,2010,77,Iran
BGD,2010,109,Bangladesh
MDG,2010,90,Madagascar
TZA,2010,101,Tanzania
TKM,2010,102,Turkmenistan
ECU,2010,94,Ecuador
VEN,2010,83,Venezuela
TJK,2010,112,Tajikistan
MOZ,2010,120,Mozambique
BOL,2010,97,Bolivia
LAO,2010,108,Laos
GAB,2010,103,Gabon
AZE,2010,117,Azerbaijan
ETH,2010,100,Ethiopia
DZA,2010,104,Algeria
GHA,2010,93,Ghana
MNG,2010,111,Mongolia
MWI,2010,114,Malawi
PNG,2010,118,Papua New Guinea
COG,2010,113,Republic of the Congo
MLI,2010,116,Mali
LBY,2010,110,Libya
MRT,2010,122,Mauritania
YEM,2010,115,Yemen
GIN,2010,119,Guinea
NGA,2010,121,Nigeria
AGO,2010,123,Angola
JPN,2011,1,Japan
DEU,2011,3,Germany
CHE,2011,2,Switzerland
KOR,2011,8,South Korea
SWE,2011,4,Sweden
AUT,2011,5,Austria
CZE,2011,6,Czech Republic
FIN,2011,7,Finland
HUN,2011,9,Hungary
GBR,2011,10,United Kingdom
SVN,2011,11,Slovenia
SVK,2011,13,Slovakia
USA,2011,12,United States
ITA,2011,16,Italy
IRL,2011,15,Ireland
FRA,2011,14,France
CHN,2011,24,China
DNK,2011,17,Denmark
BEL,2011,20,Belgium
MEX,2011,23,Mexico
ISR,2011,19,Israel
NLD,2011,22,Netherlands
EST,2011,29,Estonia
THA,2011,27,Thailand
POL,2011,18,Poland
MYS,2011,31,Malaysia
ROU,2011,30,Romania
ESP,2011,25,Spain
BLR,2011,21,Belarus
HRV,2011,26,Croatia
NOR,2011,38,Norway
LTU,2011,28,Lithuania
LVA,2011,32,Latvia
PRT,2011,35,Portugal
BIH,2011,33,Bosnia and Herzegovina
BGR,2011,37,Bulgaria
CAN,2011,36,Canada
PHL,2011,41,Philippines
TUR,2011,40,Turkey
UKR,2011,39,Ukraine
IND,2011,47,India
GRC,2011,46,Greece
TUN,2011,45,Tunisia
JOR,2011,49,Jordan
NZL,2011,44,New Zealand
RUS,2011,43,Russia
URY,2011,50,Uruguay
SLV,2011,60,El Salvador
CRI,2011,48,Costa Rica
BRA,2011,52,Brazil
ZAF,2011,57,South Africa
IDN,2011,63,Indonesia
LBN,2011,42,Lebanon
VNM,2011,64,Vietnam
MDA,2011,53,Moldova
MUS,2011,65,Mauritius
EGY,2011,66,Egypt
GEO,2011,55,Georgia
COL,2011,56,Colombia
ARG,2011,58,Argentina
DOM,2011,68,Dominican Republic
ARE,2011,51,United Arab Emirates
MKD,2011,62,Macedonia
JAM,2011,61,Jamaica
CHL,2011,59,Chile
GTM,2011,69,Guatemala
LKA,2011,76,Sri Lanka
OMN,2011,86,Oman
KWT,2011,73,Kuwait
SAU,2011,54,Saudi Arabia
HND,2011,87,Honduras
SEN,2011,89,Senegal
PRY,2011,80,Paraguay
MAR,2011,81,Morocco
CUB,2011,74,Cuba
KAZ,2011,85,Kazakhstan
SYR,2011,70,Syria
AUS,2011,79,Australia
KHM,2011,103,Cambodia
ALB,2011,77,Albania
ZMB,2011,96,Zambia
KGZ,2011,75,Kyrgyzstan
UZB,2011,88,Uzbekistan
KEN,2011,72,Kenya
CMR,2011,82,Cameroon
TTO,2011,78,Trinidad and Tobago
PAK,2011,99,Pakistan
QAT,2011,67,Qatar
PER,2011,92,Peru
NAM,2011,71,Namibia
BWA,2011,84,Botswana
ZWE,2011,100,Zimbabwe
NIC,2011,98,Nicaragua
UGA,2011,83,Uganda
CIV,2011,111,Ivory Coast
IRN,2011,93,Iran
BGD,2011,105,Bangladesh
MDG,2011,97,Madagascar
TZA,2011,101,Tanzania
TKM,2011,117,Turkmenistan
ECU,2011,90,Ecuador
VEN,2011,91,Venezuela
TJK,2011,107,Tajikistan
MOZ,2011,118,Mozambique
BOL,2011,102,Bolivia
LAO,2011,108,Laos
GAB,2011,113,Gabon
AZE,2011,116,Azerbaijan
ETH,2011,112,Ethiopia
DZA,2011,94,Algeria
GHA,2011,95,Ghana
MNG,2011,104,Mongolia
MWI,2011,114,Malawi
PNG,2011,109,Papua New Guinea
COG,2011,119,Republic of the Congo
MLI,2011,110,Mali
LBY,2011,115,Libya
MRT,2011,121,Mauritania
YEM,2011,106,Yemen
GIN,2011,120,Guinea
NGA,2011,123,Nigeria
AGO,2011,122,Angola
JPN,2012,1,Japan
DEU,2012,3,Germany
CHE,2012,2,Switzerland
KOR,2012,4,South Korea
SWE,2012,5,Sweden
AUT,2012,7,Austria
CZE,2012,6,Czech Republic
FIN,2012,8,Finland
HUN,2012,9,Hungary
GBR,2012,11,United Kingdom
SVN,2012,13,Slovenia
SVK,2012,12,Slovakia
USA,2012,10,United States
ITA,2012,15,Italy
IRL,2012,18,Ireland
FRA,2012,14,France
CHN,2012,21,China
DNK,2012,16,Denmark
BEL,2012,20,Belgium
MEX,2012,22,Mexico
ISR,2012,17,Israel
NLD,2012,24,Netherlands
EST,2012,30,Estonia
THA,2012,26,Thailand
POL,2012,23,Poland
MYS,2012,29,Malaysia
ROU,2012,27,Romania
ESP,2012,25,Spain
BLR,2012,19,Belarus
HRV,2012,28,Croatia
NOR,2012,42,Norway
LTU,2012,31,Lithuania
LVA,2012,32,Latvia
PRT,2012,33,Portugal
BIH,2012,37,Bosnia and Herzegovina
BGR,2012,34,Bulgaria
CAN,2012,36,Canada
PHL,2012,41,Philippines
TUR,2012,39,Turkey
UKR,2012,38,Ukraine
IND,2012,43,India
GRC,2012,44,Greece
TUN,2012,40,Tunisia
JOR,2012,45,Jordan
NZL,2012,48,New Zealand
RUS,2012,50,Russia
URY,2012,58,Uruguay
SLV,2012,53,El Salvador
CRI,2012,46,Costa Rica
BRA,2012,51,Brazil
ZAF,2012,56,South Africa
IDN,2012,59,Indonesia
LBN,2012,47,Lebanon
VNM,2012,62,Vietnam
MDA,2012,49,Moldova
MUS,2012,61,Mauritius
EGY,2012,65,Egypt
GEO,2012,68,Georgia
COL,2012,60,Colombia
ARG,2012,57,Argentina
DOM,2012,70,Dominican Republic
ARE,2012,67,United Arab Emirates
MKD,2012,63,Macedonia
JAM,2012,69,Jamaica
CHL,2012,64,Chile
GTM,2012,72,Guatemala
LKA,2012,74,Sri Lanka
OMN,2012,78,Oman
KWT,2012,99,Kuwait
SAU,2012,71,Saudi Arabia
HND,2012,82,Honduras
SEN,2012,75,Senegal
PRY,2012,89,Paraguay
MAR,2012,79,Morocco
CUB,2012,52,Cuba
KAZ,2012,87,Kazakhstan
SYR,2012,55,Syria
AUS,2012,83,Australia
KHM,2012,92,Cambodia
ALB,2012,76,Albania
ZMB,2012,86,Zambia
KGZ,2012,54,Kyrgyzstan
UZB,2012,85,Uzbekistan
KEN,2012,73,Kenya
CMR,2012,98,Cameroon
TTO,2012,77,Trinidad and Tobago
PAK,2012,90,Pakistan
QAT,2012,66,Qatar
PER,2012,93,Peru
NAM,2012,80,Namibia
BWA,2012,84,Botswana
ZWE,2012,101,Zimbabwe
NIC,2012,91,Nicaragua
UGA,2012,81,Uganda
CIV,2012,102,Ivory Coast
IRN,2012,108,Iran
BGD,2012,96,Bangladesh
MDG,2012,100,Madagascar
TZA,2012,88,Tanzania
TKM,2012,116,Turkmenistan
ECU,2012,94,Ecuador
VEN,2012,111,Venezuela
TJK,2012,112,Tajikistan
MOZ,2012,113,Mozambique
BOL,2012,97,Bolivia
LAO,2012,104,Laos
GAB,2012,118,Gabon
AZE,2012,115,Azerbaijan
ETH,2012,103,Ethiopia
DZA,2012,120,Algeria
GHA,2012,106,Ghana
MNG,2012,114,Mongolia
MWI,2012,110,Malawi
PNG,2012,107,Papua New Guinea
COG,2012,109,Republic of the Congo
MLI,2012,95,Mali
LBY,2012,123,Libya
MRT,2012,119,Mauritania
YEM,2012,105,Yemen
GIN,2012,121,Guinea
NGA,2012,117,Nigeria
AGO,2012,122,Angola
JPN,2013,1,Japan
DEU,2013,2,Germany
CHE,2013,3,Switzerland
KOR,2013,4,South Korea
SWE,2013,5,Sweden
AUT,2013,6,Austria
CZE,2013,7,Czech Republic
FIN,2013,8,Finland
HUN,2013,12,Hungary
GBR,2013,10,United Kingdom
SVN,2013,11,Slovenia
SVK,2013,9,Slovakia
USA,2013,13,United States
ITA,2013,15,Italy
IRL,2013,16,Ireland
FRA,2013,14,France
CHN,2013,19,China
DNK,2013,17,Denmark
BEL,2013,18,Belgium
MEX,2013,21,Mexico
ISR,2013,22,Israel
NLD,2013,26,Netherlands
EST,2013,29,Estonia
THA,2013,24,Thailand
POL,2013,23,Poland
MYS,2013,31,Malaysia
ROU,2013,25,Romania
ESP,2013,27,Spain
BLR,2013,20,Belarus
HRV,2013,28,Croatia
NOR,2013,39,Norway
LTU,2013,30,Lithuania
LVA,2013,32,Latvia
PRT,2013,33,Portugal
BIH,2013,36,Bosnia and Herzegovina
BGR,2013,35,Bulgaria
CAN,2013,37,Canada
PHL,2013,41,Philippines
TUR,2013,40,Turkey
UKR,2013,38,Ukraine
IND,2013,45,India
GRC,2013,44,Greece
TUN,2013,43,Tunisia
JOR,2013,52,Jordan
NZL,2013,46,New Zealand
RUS,2013,51,Russia
URY,2013,57,Uruguay
SLV,2013,58,El Salvador
CRI,2013,48,Costa Rica
BRA,2013,56,Brazil
ZAF,2013,55,South Africa
IDN,2013,59,Indonesia
LBN,2013,42,Lebanon
VNM,2013,64,Vietnam
MDA,2013,47,Moldova
MUS,2013,60,Mauritius
EGY,2013,62,Egypt
GEO,2013,63,Georgia
COL,2013,50,Colombia
ARG,2013,66,Argentina
DOM,2013,76,Dominican Republic
ARE,2013,53,United Arab Emirates
MKD,2013,69,Macedonia
JAM,2013,65,Jamaica
CHL,2013,68,Chile
GTM,2013,73,Guatemala
LKA,2013,74,Sri Lanka
OMN,2013,72,Oman
KWT,2013,67,Kuwait
SAU,2013,70,Saudi Arabia
HND,2013,92,Honduras
SEN,2013,85,Senegal
PRY,2013,91,Paraguay
MAR,2013,80,Morocco
CUB,2013,75,Cuba
KAZ,2013,93,Kazakhstan
SYR,2013,61,Syria
AUS,2013,82,Australia
KHM,2013,86,Cambodia
ALB,2013,78,Albania
ZMB,2013,81,Zambia
KGZ,2013,54,Kyrgyzstan
UZB,2013,88,Uzbekistan
KEN,2013,79,Kenya
CMR,2013,118,Cameroon
TTO,2013,49,Trinidad and Tobago
PAK,2013,90,Pakistan
QAT,2013,71,Qatar
PER,2013,89,Peru
NAM,2013,77,Namibia
BWA,2013,84,Botswana
ZWE,2013,87,Zimbabwe
NIC,2013,99,Nicaragua
UGA,2013,83,Uganda
CIV,2013,102,Ivory Coast
IRN,2013,95,Iran
BGD,2013,100,Bangladesh
MDG,2013,98,Madagascar
TZA,2013,96,Tanzania
TKM,2013,116,Turkmenistan
ECU,2013,101,Ecuador
VEN,2013,94,Venezuela
TJK,2013,114,Tajikistan
MOZ,2013,110,Mozambique
BOL,2013,108,Bolivia
LAO,2013,105,Laos
GAB,2013,117,Gabon
AZE,2013,106,Azerbaijan
ETH,2013,107,Ethiopia
DZA,2013,109,Algeria
GHA,2013,97,Ghana
MNG,2013,112,Mongolia
MWI,2013,104,Malawi
PNG,2013,121,Papua New Guinea
COG,2013,113,Republic of the Congo
MLI,2013,103,Mali
LBY,2013,119,Libya
MRT,2013,122,Mauritania
YEM,2013,111,Yemen
GIN,2013,123,Guinea
NGA,2013,120,Nigeria
AGO,2013,115,Angola
JPN,2014,1,Japan
DEU,2014,2,Germany
CHE,2014,3,Switzerland
KOR,2014,4,South Korea
SWE,2014,5,Sweden
AUT,2014,6,Austria
CZE,2014,7,Czech Republic
FIN,2014,8,Finland
HUN,2014,9,Hungary
GBR,2014,10,United Kingdom
SVN,2014,11,Slovenia
SVK,2014,12,Slovakia
USA,2014,13,United States
ITA,2014,14,Italy
IRL,2014,15,Ireland
FRA,2014,16,France
CHN,2014,17,China
DNK,2014,18,Denmark
BEL,2014,19,Belgium
MEX,2014,20,Mexico
ISR,2014,21,Israel
NLD,2014,22,Netherlands
EST,2014,23,Estonia
THA,2014,24,Thailand
POL,2014,25,Poland
MYS,2014,26,Malaysia
ROU,2014,27,Romania
ESP,2014,28,Spain
BLR,2014,29,Belarus
HRV,2014,30,Croatia
NOR,2014,31,Norway
LTU,2014,32,Lithuania
LVA,2014,33,Latvia
PRT,2014,34,Portugal
BIH,2014,35,Bosnia and Herzegovina
BGR,2014,36,Bulgaria
CAN,2014,37,Canada
PHL,2014,38,Philippines
TUR,2014,40,Turkey
UKR,2014,41,Ukraine
IND,2014,42,India
GRC,2014,43,Greece
TUN,2014,44,Tunisia
JOR,2014,45,Jordan
NZL,2014,46,New Zealand
RUS,2014,47,Russia
URY,2014,48,Uruguay
SLV,2014,49,El Salvador
CRI,2014,50,Costa Rica
BRA,2014,51,Brazil
ZAF,2014,52,South Africa
IDN,2014,53,Indonesia
LBN,2014,54,Lebanon
VNM,2014,55,Vietnam
MDA,2014,56,Moldova
MUS,2014,57,Mauritius
EGY,2014,58,Egypt
GEO,2014,59,Georgia
COL,2014,60,Colombia
ARG,2014,61,Argentina
DOM,2014,62,Dominican Republic
ARE,2014,63,United Arab Emirates
MKD,2014,64,Macedonia
JAM,2014,65,Jamaica
CHL,2014,66,Chile
GTM,2014,67,Guatemala
LKA,2014,68,Sri Lanka
OMN,2014,69,Oman
KWT,2014,70,Kuwait
SAU,2014,71,Saudi Arabia
HND,2014,72,Honduras
SEN,2014,73,Senegal
PRY,2014,74,Paraguay
MAR,2014,75,Morocco
CUB,2014,76,Cuba
KAZ,2014,77,Kazakhstan
SYR,2014,78,Syria
AUS,2014,79,Australia
KHM,2014,80,Cambodia
ALB,2014,81,Albania
ZMB,2014,82,Zambia
KGZ,2014,83,Kyrgyzstan
UZB,2014,84,Uzbekistan
KEN,2014,85,Kenya
CMR,2014,86,Cameroon
TTO,2014,87,Trinidad and Tobago
PAK,2014,88,Pakistan
QAT,2014,89,Qatar
PER,2014,90,Peru
NAM,2014,91,Namibia
BWA,2014,92,Botswana
ZWE,2014,93,Zimbabwe
NIC,2014,94,Nicaragua
UGA,2014,95,Uganda
CIV,2014,96,Ivory Coast
IRN,2014,97,Iran
BGD,2014,98,Bangladesh
MDG,2014,99,Madagascar
TZA,2014,100,Tanzania
TKM,2014,101,Turkmenistan
ECU,2014,102,Ecuador
VEN,2014,103,Venezuela
TJK,2014,104,Tajikistan
MOZ,2014,105,Mozambique
BOL,2014,106,Bolivia
LAO,2014,107,Laos
GAB,2014,108,Gabon
AZE,2014,109,Azerbaijan
ETH,2014,110,Ethiopia
DZA,2014,111,Algeria
GHA,2014,112,Ghana
MNG,2014,113,Mongolia
MWI,2014,114,Malawi
PNG,2014,115,Papua New Guinea
COG,2014,116,Republic of the Congo
MLI,2014,117,Mali
LBY,2014,118,Libya
MRT,2014,119,Mauritania
YEM,2014,120,Yemen
GIN,2014,121,Guinea
NGA,2014,122,Nigeria
AGO,2014,123,Angola
